BREW06,BREW07,BREW08,BREW09,BREW10,BREW11,BREW12,BREW13,BREW14,BREW15,BREW16
4,5,5,5,7,9,15,23,25,30,37
14,15,16,18,20,23,25,25,28,35,36
4,4,4,5,5,7,13,18,23,29,34
33,33,33,34,37,45,55,59,77,91,110
293,310,333,340,358,401,472,528,654,788,927
102,112,117,116,129,149,185,234,300,352,386
18,19,21,19,21,20,24,39,50,59,76
4,3,3,3,4,6,5,11,12,13,13
9,10,9,11,11,12,13,13,15,21,25
51,50,61,52,60,71,89,113,158,205,264
22,23,20,22,26,25,31,37,48,54,69
12,12,11,11,11,12,15,17,20,26,23
19,20,21,28,27,35,46,54,60,71,94
20,20,24,25,25,33,39,42,51,57,67
45,52,51,60,62,68,95,123,164,210,244
25,30,30,39,43,59,72,95,116,151,163
17,18,17,17,17,21,21,25,27,37,47
10,12,12,15,14,21,25,25,38,48,60
10,10,10,11,12,12,12,15,17,25,34
40,43,45,44,48,52,65,82,98,124,146
26,24,24,26,24,26,40,43,55,73,88
43,43,43,42,44,49,53,60,71,84,102
91,94,96,104,111,131,160,195,256,316,379
35,34,36,39,42,56,70,75,113,142,165
34,38,38,47,51,55,60,63,77,90,116
NA,NA,NA,NA,3,NA,4,7,10,14,14
22,26,31,31,31,35,41,49,62,74,79
46,45,50,52,61,71,94,125,155,207,260
3,3,3,3,3,3,7,8,10,11,15
16,17,16,17,16,18,20,25,35,39,47
14,15,16,17,19,21,25,35,46,63,73
21,21,20,22,24,31,29,37,49,71,96
23,21,20,21,26,30,38,48,60,71,86
16,16,17,18,20,20,23,26,34,39,44
82,77,81,84,100,123,150,193,255,329,394
57,58,66,66,75,81,99,114,151,187,236
7,6,9,10,10,10,13,17,18,21,26
95,96,108,108,120,148,180,220,244,281,304
81,94,97,96,118,146,162,183,233,278,333
5,5,5,5,5,6,9,12,14,15,17
16,17,16,15,16,17,23,30,37,51,59
7,8,7,7,8,9,12,12,15,19,21
19,22,23,23,26,31,45,51,69,88,101
47,45,47,47,59,84,107,128,170,220,266
17,15,15,18,18,18,22,24,27,29,34
35,35,43,42,44,54,67,85,117,155,209
24,22,24,27,32,34,39,45,51,66,73
108,110,121,138,157,188,230,266,314,383,424
103,105,110,108,119,126,146,146,168,189,217
6,6,6,8,8,8,8,9,13,17,24
