STATE_ABBR,Teen,Unmarried,Pre-term,Cesarean,Low Weight,STATE_NAME
AL,28.40,44.70,11.98,34.40,10.30,Alabama
AK,25.80,36.10,8.92,23.00,5.90,Alaska
AZ,23.60,45.00,9.07,27.50,7.30,Arizona
AR,34.60,44.50,10.87,32.30,8.80,Arkansas
CA,17.00,38.20,8.61,31.90,6.80,California
CO,17.80,22.50,8.86,26.20,9.00,Colorado
CT,9.40,36.90,9.42,35.40,7.80,Connecticut
DE,19.50,45.80,10.06,31.80,8.90,Delaware
FL,19.30,46.90,10.15,37.40,8.70,Florida
GA,23.60,44.90,11.22,33.80,9.80,Georgia
HI,19.20,37.00,10.55,25.20,8.50,Hawaii
ID,20.10,27.60,8.93,23.90,7.00,Idaho
IL,18.70,39.70,10.33,31.10,8.40,Illinois
IN,23.60,42.70,9.98,29.80,8.20,Indiana
IA,17.20,35.00,9.27,30.10,6.80,Iowa
KS,21.90,36.00,9.09,29.50,7.00,Kansas
KY,30.90,41.40,11.41,34.60,9.10,Kentucky
LA,30.60,52.00,12.64,37.50,10.60,Louisiana
ME,14.70,39.70,8.57,28.90,7.10,Maine
MD,15.90,39.70,10.14,33.70,8.50,Maryland
MA,8.50,33.00,8.66,31.30,7.50,Massachusetts
MI,17.70,41.00,10.14,32.00,8.50,Michigan
MN,12.60,32.20,8.78,26.80,6.60,Minnesota
MS,32.60,53.20,13.65,38.20,11.50,Mississippi
MO,23.40,39.80,10.17,30.20,8.70,Missouri
MT,23.70,36.40,8.75,29.10,7.90,Montana
NE,19.10,32.30,9.61,31.00,7.00,Nebraska
NV,24.20,47.80,10.37,33.80,8.50,Nevada
NH,9.30,33.70,7.79,30.90,6.40,New Hampshire
NJ,11.00,34.60,9.87,36.20,8.10,New Jersey
NM,29.80,51.10,9.99,24.80,9.00,New Mexico
NY,13.20,38.50,8.96,33.80,7.90,New York
NC,21.80,40.40,10.39,29.40,9.20,North Carolina
ND,20.30,31.60,9.14,26.80,6.60,North Dakota
OH,21.80,43.00,10.43,30.80,8.70,Ohio
OK,33.40,42.30,10.65,32.00,7.80,Oklahoma
OR,16.60,35.80,7.95,27.20,6.50,Oregon
PA,15.80,40.70,9.31,29.80,8.20,Pennsylvania
RI,12.90,44.90,9.34,31.20,8.00,Rhode Island
SC,23.70,45.30,11.16,33.50,9.60,South Carolina
SD,25.10,36.90,8.95,25.30,6.80,South Dakota
TN,28.00,43.60,11.31,32.50,9.30,Tennessee
TX,31.00,41.30,10.41,34.40,8.40,Texas
UT,15.60,18.60,9.61,22.30,7.20,Utah
VT,10.30,39.40,7.95,25.70,6.90,Vermont
VA,15.50,34.00,9.56,33.00,8.10,Virginia
WA,16.60,31.70,8.14,27.40,6.40,Washington
WV,29.30,45.00,11.85,34.90,9.60,West Virginia
WI,15.00,37.20,9.59,26.00,7.40,Wisconsin
WY,26.10,32.80,9.48,27.40,8.50,Wyoming
