STATE_NAME,STATE_ABBR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Massachusetts,MA,50.631965,56.113377,57.887332,60.756015,63.712667,77.457927,92.987094,108.912312,132.386519,149.29294,205.512495
Minnesota,MN,38.889002,39.749366,43.023711,42.05679,46.388316,51.145749,63.355945,75.445369,101.400385,123.62488,141.346858
Montana,MT,26.284567,29.484778,32.900314,27.918714,35.204263,34.914024,55.285458,70.736348,83.364066,111.639263,126.47027
North Dakota,ND,29.103487,28.771176,35.216891,40.136306,38.905339,47.442654,68.816667,75.945788,106.790516,127.791911,134.231888
Hawaii,HI,46.84005,43.431058,46.00591,43.328258,49.460733,46.706379,57.850556,79.522642,96.916644,129.77965,152.888382
Idaho,ID,27.196805,30.056835,26.826697,25.996227,35.097753,32.19458,42.717699,53.300869,85.0219,105.517361,108.169082
Washington,WA,40.361934,42.03903,42.748072,42.820472,46.870843,51.870679,65.882122,80.55423,101.461672,127.64117,158.232124
Arizona,AZ,38.008714,37.503242,40.236946,41.294137,45.356856,52.8535,64.52522,76.817003,96.729425,117.849618,141.581901
California,CA,48.771447,54.286007,54.857828,56.130481,59.080493,75.323894,87.478864,105.971972,125.431192,142.67873,202.446477
Colorado,CO,41.337143,44.158169,46.515369,47.583071,51.403349,59.472482,70.415506,84.000626,104.195204,128.235403,154.021607
Nevada,NV,38.831262,39.311222,37.890094,37.75893,45.960223,50.037433,60.258948,70.220954,81.746147,111.943795,126.76654
New Mexico,NM,32.813744,32.3822,36.204751,37.420865,45.107713,62.861115,66.735722,76.964068,96.635216,114.262829,132.475335
Oregon,OR,34.994325,34.448944,37.710177,37.813184,43.051941,52.054812,62.905635,73.112278,94.471331,117.57978,133.420545
Utah,UT,32.29477,30.595503,31.887486,31.507394,38.384693,38.338942,49.010306,60.044792,83.595606,111.789138,110.020451
Wyoming,WY,29.514403,35.930154,38.374713,29.903025,38.903497,28.047826,42.103167,53.506293,78.037691,113.945944,108.361177
Arkansas,AR,29.90694,29.953266,31.979824,36.40085,40.190411,51.428529,59.375834,67.860578,88.595716,108.875025,119.575379
Iowa,IA,29.256179,27.981658,30.800724,32.607324,36.247597,38.642391,49.14778,63.330681,84.889912,107.754609,111.961725
Kansas,KS,33.702355,33.776678,36.159491,37.694388,42.874937,44.730684,59.384106,73.168833,94.397417,116.065797,122.421407
Missouri,MO,33.071467,33.282428,35.268137,38.007503,43.528039,52.308963,62.349317,69.630561,91.451031,113.088456,127.818511
Nebraska,NE,31.382662,28.710485,31.083817,35.694982,38.356657,47.452452,49.655479,63.548399,78.226922,111.787611,117.245391
Oklahoma,OK,31.813159,33.750847,35.009758,39.142547,41.533502,50.716132,63.735013,69.185104,92.58081,114.076129,121.317092
South Dakota,SD,30.921945,23.11658,33.948895,38.666336,40.077058,36.684814,47.346128,59.398917,83.918135,107.523588,113.647146
Louisiana,LA,35.469435,37.794904,41.687389,45.094078,49.329839,63.619579,76.507356,88.23847,105.165699,119.976949,159.109715
Texas,TX,40.162712,42.951541,46.014833,50.225182,51.684439,66.002776,77.332958,89.396848,110.428782,128.811902,161.073236
Connecticut,CT,57.669773,64.151231,65.222853,68.043152,69.070453,85.512011,101.262134,120.371728,142.963264,153.362383,222.913388
New Hampshire,NH,41.121388,40.468463,40.298222,42.868678,45.150659,50.332293,57.912858,74.227964,98.893557,125.718134,127.975283
Rhode Island,RI,39.476162,44.054356,46.372395,48.131319,53.64711,63.448387,72.889989,91.564082,112.678915,127.729099,168.422588
Vermont,VT,31.200822,31.261923,35.27463,34.319,43.363418,39.457473,55.03888,71.354492,83.633951,113.390329,127.687097
Alabama,AL,34.351317,35.226456,37.682913,42.641578,46.768648,56.92966,66.721218,75.288589,93.440406,114.20607,142.059938
Florida,FL,39.191893,41.959471,43.191654,45.310331,50.373287,64.212635,76.324384,85.39067,104.141852,123.040515,154.148634
Georgia,GA,39.102457,41.746595,44.516658,47.6489,49.722246,63.059915,76.980412,87.038173,104.186623,122.105184,155.430849
Mississippi,MS,30.356414,33.763901,37.043041,39.087001,42.681151,53.105322,72.137732,72.397291,89.75529,106.418655,128.280321
South Carolina,SC,34.28011,34.287413,38.382093,40.591282,43.986495,52.210568,65.338253,70.667315,91.609673,112.174861,134.583571
Illinois,IL,43.855984,47.435528,48.997993,52.873398,53.462683,65.902653,77.85604,95.800739,111.626097,133.6128,173.339278
Indiana,IN,31.733543,29.078941,32.7584,31.677357,38.415906,43.789501,51.440343,66.722563,81.189859,108.152761,112.747495
Kentucky,KY,32.341737,33.057265,36.742283,39.460543,44.329217,55.044286,63.038194,73.736397,89.982846,113.400255,138.347432
North Carolina,NC,34.776869,37.526447,39.67503,42.412024,46.016242,57.849578,67.56528,79.736667,97.288619,116.54388,143.495837
Ohio,OH,34.556228,34.16176,36.825873,39.360386,43.039703,51.655614,64.111629,74.275212,93.198832,114.307278,133.982115
Tennessee,TN,34.854222,37.066707,39.719328,42.031874,46.069756,58.500684,68.142676,79.148427,98.842363,116.428479,139.837162
Virginia,VA,46.34271,49.825471,50.985485,51.995595,56.987491,67.793398,80.037645,92.531819,113.509268,135.940056,176.512767
Wisconsin,WI,33.015057,31.943008,32.774521,34.609957,38.080348,41.372288,53.954552,63.650146,81.159949,109.704372,119.86595
West Virginia,WV,25.817457,26.359287,29.422201,36.894163,37.632305,53.54512,59.836594,66.036207,77.109967,100.032077,116.118072
Delaware,DE,38.686386,38.226469,44.231212,41.048022,46.673517,50.694273,57.435687,75.745425,96.249959,122.175911,135.434696
Maryland,MD,49.285341,54.089792,51.898317,56.897111,57.302676,64.152703,76.035295,95.61446,113.331387,141.053438,174.805048
New Jersey,NJ,53.957593,59.914633,59.23437,63.030619,63.918514,76.476509,90.606411,110.224971,128.639731,150.61054,211.303529
New York,NY,50.25839,57.457662,60.042516,66.826724,66.434441,87.632406,97.93213,116.473416,136.512925,150.077525,222.334971
Pennsylvania,PA,37.33597,39.92626,41.278528,45.579758,49.330348,56.545846,69.679521,81.914396,101.23677,122.497008,146.550395
Maine,ME,29.174732,30.938267,31.291988,31.120129,38.231148,46.495416,53.343031,64.52918,90.441819,109.579117,113.533809
Michigan,MI,35.830217,35.535097,37.640181,39.24567,42.921028,52.99686,64.71938,73.720783,91.243089,115.705443,136.450272
Alaska,AK,40.866757,39.958148,39.258155,36.338372,46.680051,38.976285,57.496854,62.024954,89.295051,128.501352,110.72477
